source	relative_path	decision	action	target	title	reason	char_count
A	education/Teaching-With-Minecraft/Assign-or-Share-Worlds-and-Lessons.md	无需更新	none		Assign or share a world from the in-game Library	教育版通用教学内容，当前无直接开发补丁	7445
A	education/Teaching-With-Minecraft/Code-Builder-in-Minecraft-Education.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	2367
A	education/Teaching-With-Minecraft/Essential-Commands.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	7573
A	education/Teaching-With-Minecraft/FAQ-Teaching-With-Minecraft.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	2994
A	education/Teaching-With-Minecraft/Import-Export-and-Manage-Worlds.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	2898
A	education/Teaching-With-Minecraft/Launch-Minecraft-Education-from-an-LMS-or-Digital-Learning-Portal.md	无需更新	none		Add Minecraft Education	教育版通用教学内容，当前无直接开发补丁	1443
A	education/Teaching-With-Minecraft/Minecraft-Education-Lesson-Plans.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	11275
A	education/Teaching-With-Minecraft/Minecraft-keyboard-and-mouse-controls.md	无需更新	none		Moving around Minecraft	教育版通用教学内容，当前无直接开发补丁	3954
A	education/Teaching-With-Minecraft/Minecraft-Lesson-Planner-in-Teach.md	无需更新	none		Using Lesson Planner	教育版通用教学内容，当前无直接开发补丁	6776
A	education/Teaching-With-Minecraft/Research-About-Game-Based-Learning.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	2371
A	education/Teaching-With-Minecraft/Specialty-Blocks-Allow-Deny-Border-Structure.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	4057
A	education/Troubleshooting/Chromebook-Support.md	无需更新	none		Proxy support isn’t yet available	教育版通用教学内容，当前无直接开发补丁	1530
A	education/Troubleshooting/Known-Issues-and-Solutions-for-the-Minecraft-Education-website.md	无需更新	none		Lesson pages not loading, unable to log in, and newsletter signup failure on education.minecraft.net	教育版通用教学内容，当前无直接开发补丁	3371
A	education/Troubleshooting/Known-Issues-on-Chromebook.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	2325
A	education/Troubleshooting/Known-Issues-on-iPad.md	无需更新	none		Can't export from structure block	教育版通用教学内容，当前无直接开发补丁	3810
A	education/Troubleshooting/Known-Issues-on-Mac.md	无需更新	none		Some lesson worlds don't show new content from GOAT update.	教育版通用教学内容，当前无直接开发补丁	1516
A	education/Troubleshooting/Known-Issues-on-PC.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	1521
A	education/Troubleshooting/Known-Issues-with-Coding.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	4017
